symbol,name,currency,sector,sectorcode,ISIN,trailingPE,EPS,analist_estimate,Price_book,TangibleValuePerShare,enterpriseToEbitda,totalDebt,currentRatio,growthrate,growthrate_quarter,beta,priceToSalesTrailing12Months,extrainfo,value_score,risc_score,growth_score
GOFORE.HE,Gofore Oyj,EUR,Technology,1010,FI4000283130,30.136986,0.73,1.0,4.83304,0.049344217026613,17.16,0.058698307000588,1.6,0.473497437696008,1.40470518165575,0.599294,2.7186558,,0.0,50.0,50.0
GPG.ST,Genova Property Group,SEK,Real Estate,3510,SE0007184189,3.74817,13.66,1.0,0.6031548,1.95070552028492,33.186,2.70018581604212,0.696,0.814419475655431,0.875714285714286,,5.525748,,40.0,40.0,40.0
GREEN.ST,Green Landscaping Group,SEK,Industrials,5010,SE0010985028,24.457365,2.58,1.0,3.0256534,0.299867657276728,13.33,0.540353872980205,1.269,0.785817532522745,0.947368421052632,0.634571,0.8455516,,0.0,50.0,40.0
GREENH.CO,Green Hydrogen Systems,DKK,Energy,6010,DK0061540341,77.29412,0.17,1.0,1.0784636,,-5.963,0.171034769323651,0.619,0.0,1.57109952333728,,288.5665,,30.0,20.0,10.0
GRNG.ST,Gränges,SEK,Consumer Services,4010,SE0006288015,13.728814,6.49,1.0,1.132752,0.583078873722187,6.967,0.622668680532204,1.417,0.0462044926413633,1.97142857142857,1.589502,0.39493546,,30.0,10.0,10.0
GYLD-A.CO,Gyldendal A,DKK,Consumer Services,4030,DK0010247527,54.968285,33.11,1.0,4.732977,0.0565963500784929,72.204,0.142287095761382,0.817,0.0454784298839424,-0.602175663514218,0.273403,2.0098011,,0.0,50.0,0.0
GYLD-B.CO,Gyldendal B,DKK,Consumer Services,4030,DK0010247600,13.085311,31.18,1.0,1.061019,0.252464110644258,19.68,0.634712044817927,0.817,0.0454784298839424,-0.602175663514218,0.273403,2.113398,SMALL CAP,20.0,30.0,0.0
HAGA.IC,Hagar,ISK,Consumer Services,4040,IS0000020121,17.396593,4.11,1.0,3.005591,0.141091727501046,11.089,0.292903256949966,0.993,0.35388873709595,1.66993006993007,0.077344,0.5288921,,0.0,40.0,50.0
HART.CO,Brdr.Hartmann,DKK,Industrials,5020,DK0010256197,0.0,-3.948,1.0,1.316257,0.429984863598052,12.352,0.636069680575737,1.827,0.118537900412306,-0.537735849056604,1.021543,0.6014151,,10.0,20.0,20.0
HARVIA.HE,Harvia Oyj,EUR,Consumer Services,4020,FI4000306873,11.545454,1.65,1.0,3.7760158,0.0574924656473459,9.207,0.219226363585959,2.926,0.712388201866262,0.685301507537688,1.56937,2.0339768,,20.0,30.0,40.0
HEBA-B.ST,HEBA B,SEK,Real Estate,3510,SE0017911480,8.012345,4.05,1.0,0.7226528,0.0,39.175,1.53584189731761,0.177,0.0586841351472803,1.23008267299826,0.80611,10.875153,,40.0,30.0,20.0
HH.CO,H+H International,DKK,Industrials,5010,DK0015202451,5.0144367,20.78,1.0,1.0424274,0.188131409449575,3.496,0.52512692481875,2.074,0.0936385255648038,1.27906976744186,1.34665,0.48404372,,50.0,20.0,20.0
HKSAV.HE,HKScan Oyj  A,EUR,Consumer Goods,4510,FI0009006308,0.0,-0.11,1.0,0.30564785,1.94027591882292,9.469,4.36177810148554,0.911,0.0283461583304186,0.412698412698413,0.909126,0.045792986,SMALL CAP,30.0,50.0,0.0
HNSA.ST,Hansa Biopharma,SEK,Health Care,2010,SE0002148817,0.0,-13.104,1.0,6.7170935,0.0,-3.225,0.341432441249919,6.422,2.47662298987493,0.897855933676195,0.904817,17.93404,,20.0,30.0,40.0
HOFI.ST,Hoist Finance,SEK,Financials,3020,SE0006887063,5.5472527,4.55,1.0,0.42868304,2.50087874588114,0.0,2.8158731452792,1.355,-0.0673758865248227,0.0,1.322757,0.7664087,FINANCE,40.0,60.0,0.0
HUM.ST,Humana,SEK,Health Care,2010,SE0008040653,5.89838,6.79,1.0,0.7176648,0.0861422986040241,14.107,2.73723669722168,0.973,0.121462615430444,1.78125,0.889933,0.21774468,,40.0,50.0,30.0
HUSCO.CO,HusCompagniet,DKK,Consumer Services,4020,DK0061412855,2.9717681,13.46,1.0,0.3616571,,4.362,1.26641253333333,1.384,0.101631317863343,0.633475599538703,1.333894,0.16632438,,60.0,20.0,20.0
IAR-B.ST,I.A.R Systems Group,SEK,Technology,1010,SE0005851706,0.0,-4.999,1.0,3.3080375,0.00427137073096692,24.976,0.0128605401356286,1.524,-0.0143431983385254,1.38993710691824,0.837446,5.7932816,,0.0,40.0,10.0
ICEAIR.IC,Icelandair Group,ISK,Consumer Services,4050,IS0000013464,0.0,-0.004,1.0,218.99998,0.00268270435202197,779.139,0.00982258268138427,0.844,-0.334192041047955,-2.52554664322602,0.656741,54.13095,,0.0,40.0,0.0
ICESEA.IC,Iceland Seafood International,ISK,Consumer Goods,4520,IS0000026961,0.0,0.0,1.0,241.07143,0.00146637450146935,1603.31,0.0070010813858116,1.196,0.155436183803594,-0.285061342314169,0.690015,38.239376,,0.0,30.0,40.0
ICP1V.HE,Incap Oyj,EUR,Industrials,5020,FI0009006407,8.42001,2.019,1.0,2.5644894,0.0185239918377781,14.04,0.151601073265204,1.955,0.704227757414195,0.94785238212787,1.985879,0.46676904,SMALL CAP,20.0,30.0,40.0
IMMNOV.ST,Immunovia,SEK,Health Care,2010,SE0006091997,0.0,-6.426,1.0,1.1908628,0.0,-3.672,0.0565788210026098,7.073,0.422672672672673,1.27145288875538,1.509627,737.3974,,30.0,10.0,50.0
